,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Arghakhanchi (Khanchikot),6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,79.19999999999999
Bardia (Chishapani),7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,86.40000000000002
"Rupandehi,Bhairahawa Agriculture",2.7,2.7,1.58525,1.58525,1.58525,1.58525,1.58525,1.58525,0.508,0.433,1.58525,1.58525,19.023
"Dadeldhura,Dadeldhura",3.4,2.9,2.6,2.6,2.8,2.3608571428571428,2.11,2.3608571428571428,0.116,2.3608571428571428,2.3608571428571428,2.3608571428571428,28.33028571428571
"Dhankuta,Pakhribas",1.2,1.3,1.9175714285714283,0.9,1.9175714285714283,1.9175714285714283,1.9175714285714283,1.9175714285714283,0.708,7.391,1.341,0.583,23.01085714285714
"Dhankuta, Dhankuta",3.9,3.5,3.2,3.3,3.1,2.9,2.51,2.54,1.859,1.616,2.8425000000000002,2.8425000000000002,34.11000000000001
Dolakha (Jiri),3.2,3.1,2.6133333333333333,3.0,2.6133333333333333,3.2,2.92,2.6133333333333333,3.383,2.025,1.325,1.367,31.36
"Doti, Dipayal",1.4,2.0,1.9,1.5,1.6,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.025,1.575,18.857142857142854
"Ilam , Ilam Tea State",1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,14.399999999999997
"Jumla,Jumla",5.4,5.6,5.3,4.6,4.8,4.4,4.16,4.666727272727273,4.058,4.208,4.55,4.258,56.000727272727275
"Kailai, Dhangadhi",1.0684,1.0684,1.7,1.7,1.6,1.0684,1.0684,1.0684,1.0684,0.25,0.092,1.0684,12.820800000000004
"Kanchanpur,Mahendranagar",2.4,2.1,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,27.0
"Kaski ,Lumle",1.3,1.3,1.4,1.2,0.8,0.7,0.76,1.536625,1.536625,4.833,1.536625,1.536625,18.4395
"Kathmandu ,Kathmandu Airport",0.8,0.673875,0.7,0.9,0.6,0.6,0.673875,0.673875,0.5,0.591,0.7,0.673875,8.0865
"Lalitpur ,Khumaltar",3.0,3.0,3.0,3.2,3.0,3.0,2.68,2.8554,2.633,2.8554,2.558,2.483,34.264799999999994
"Kaski, Malepatan",0.3,0.3,0.4,0.3,0.2,0.28,0.49577777777777776,0.49577777777777776,0.991,0.49577777777777776,1.133,0.558,5.949333333333334
"Morang, Biratnagar Airport",1.8,3.641428571428571,5.9,6.5,5.0,2.8,1.24,2.25,3.641428571428571,3.641428571428571,3.641428571428571,3.641428571428571,43.69714285714285
"Bhaktpur, Nagarkot",4.3,3.7,2.9,2.7,0.9,1.9934444444444448,1.9934444444444448,1.9934444444444448,1.0,0.9,0.766,0.775,23.921333333333337
"Banke, Nepalganj",2.8,2.0,1.9,1.5,1.6,1.644,1.644,1.644,0.875,0.833,1.644,1.644,19.727999999999994
"Banke,Khajura",2.2,1.9,1.9,1.9,1.8,1.9400000000000002,1.9400000000000002,1.9400000000000002,1.9400000000000002,1.9400000000000002,1.9400000000000002,1.9400000000000002,23.280000000000005
"Banke, Sikta",1.9,1.5,0.6,0.8,0.6,1.1615714285714287,1.49,1.1615714285714287,1.1615714285714287,1.1615714285714287,1.241,1.1615714285714287,13.938857142857145
"Okhaldhunga,Okhaldhunga",2.7,4.3,4.3,3.8,2.0,2.3,2.03,4.76,4.008,3.15,2.983,3.302818181818182,39.633818181818185
"Parsa, Parwanipur",2.5,1.7,0.7,1.3,-0.4,0.5,0.9671428571428571,0.9671428571428571,0.9671428571428571,0.47,0.9671428571428571,0.9671428571428571,11.605714285714287
"Kaski, Pokhara Airport",2.3,2.3231428571428574,1.9,2.1,2.3,2.3231428571428574,2.57,2.3231428571428574,2.3231428571428574,2.3231428571428574,2.275,2.817,27.877714285714287
"Siraha, Lahan",3.9,2.41025,2.41025,1.9,1.1,2.41025,2.41025,2.41025,2.741,2.41025,2.41025,2.41025,28.923000000000005
"Sunsari ,Tarahara",4.5,7.0,6.4,6.2,5.438777777777776,6.3,5.438777777777776,5.438777777777776,4.775,4.608,4.55,4.616,65.26533333333332
"Surkhet ,Birendranagar",1.6,1.2,1.3,1.6,1.0,1.9651666666666667,1.9651666666666667,1.9651666666666667,1.9651666666666667,5.091,1.9651666666666667,1.9651666666666667,23.582
"Surkhet ,Pusmacamp",1.6,1.9,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,20.399999999999995
"Taplejung, Taplejung",2.5,1.4697545454545453,1.5,1.8,1.7,1.7,1.68,1.68,1.683,1.366,0.2583,0.3,17.637054545454543
