,Arghakhanchi (Khanchikot),Bardia (Chishapani),"Rupandehi,Bhairahawa Agriculture","Dadeldhura,Dadeldhura","Dhankuta,Pakhribas","Dhankuta, Dhankuta",Dolakha (Jiri),"Doti, Dipayal","Ilam , Ilam Tea State","Jumla,Jumla","Kailai, Dhangadhi","Kanchanpur,Mahendranagar","Kaski ,Lumle","Kathmandu ,Kathmandu Airport","Lalitpur ,Khumaltar","Kaski, Malepatan","Morang, Biratnagar Airport","Bhaktpur, Nagarkot","Banke, Nepalganj","Banke,Khajura","Banke, Sikta","Okhaldhunga,Okhaldhunga","Parsa, Parwanipur","Kaski, Pokhara Airport","Siraha, Lahan","Sunsari ,Tarahara","Surkhet ,Birendranagar","Surkhet ,Pusmacamp","Taplejung, Taplejung"
2005,6.6,7.2,2.7,3.4,1.2,3.9,3.2,1.4,1.2,5.4,1.0684,2.4,1.3,0.8,3.0,0.3,1.8,4.3,2.8,2.2,1.9,2.7,2.5,2.3,3.9,4.5,1.6,1.6,2.5
2006,6.6,7.2,2.7,2.9,1.3,3.5,3.1,2.0,1.2,5.6,1.0684,2.1,1.3,0.673875,3.0,0.3,3.641428571428571,3.7,2.0,1.9,1.5,4.3,1.7,2.3231428571428574,2.3082,7.0,1.2,1.9,1.4697545454545453
2007,6.6,7.2,1.58525,2.6,2.6,3.2,3.2,1.9,1.2,5.3,1.7,2.25,1.4,0.7,3.0,0.4,5.9,2.9,1.9,1.9,0.6,4.3,0.7,1.9,1.9,6.4,1.3,1.6,1.5
2008,6.6,7.2,1.58525,2.6,0.9,3.3,3.0,1.5,1.2,4.6,1.7,2.25,1.2,0.9,3.2,0.3,6.5,2.7,1.5,1.9,0.8,3.8,1.3,2.1,1.9,6.2,1.6,1.6,1.8
2009,6.6,7.2,1.58525,2.8,2.8,3.1,3.1,1.6,1.2,4.8,1.6,2.25,0.8,0.6,3.0,0.2,5.0,0.9,1.6,1.8,0.6,2.0,-0.4,2.3,1.1,1.1,1.0,1.0,1.7
2010,6.6,7.2,1.58525,2.3608571428571428,2.0914444444444444,2.9,3.2,1.5714285714285714,1.2,4.4,1.0684,2.25,0.7,0.6,3.0,0.28,2.8,1.9934444444444448,1.644,1.9400000000000002,1.1615714285714287,2.3,0.5,2.3231428571428574,2.3082,6.3,1.9651666666666667,1.5399999999999998,1.7
2011,6.6,7.2,1.58525,2.11,2.0914444444444444,2.51,2.92,1.5714285714285714,1.2,4.16,1.0684,2.25,0.76,0.673875,2.68,0.49577777777777776,1.24,1.9934444444444448,1.644,1.9400000000000002,1.49,2.03,0.9671428571428571,2.57,2.3082,5.004899999999999,1.9651666666666667,1.5399999999999998,1.68
2012,6.6,7.2,1.58525,2.3608571428571428,2.0914444444444444,2.54,2.7109090909090905,1.5714285714285714,1.2,4.666727272727273,1.0684,2.25,1.536625,0.673875,2.8554,0.49577777777777776,2.25,1.9934444444444448,1.644,1.9400000000000002,1.1615714285714287,4.76,0.9671428571428571,2.3231428571428574,2.3082,5.004899999999999,1.9651666666666667,1.5399999999999998,1.68
2013,6.6,7.2,0.508,0.116,0.708,1.859,3.383,1.5714285714285714,1.2,4.058,1.0684,2.25,1.536625,0.5,2.633,0.991,3.641428571428571,1.0,0.875,1.9400000000000002,1.1615714285714287,4.008,0.9671428571428571,2.3231428571428574,2.741,4.775,1.9651666666666667,1.5399999999999998,1.683
2014,6.6,7.2,0.433,2.3608571428571428,7.391,1.616,2.025,1.5714285714285714,1.2,4.208,0.25,2.25,4.833,0.591,2.8554,0.49577777777777776,3.641428571428571,0.9,0.833,1.9400000000000002,1.1615714285714287,3.15,0.47,2.3231428571428574,2.3082,4.608,5.091,1.5399999999999998,1.366
2015,6.6,7.2,1.58525,2.3608571428571428,1.341,2.8425000000000002,1.325,1.025,1.2,4.55,0.092,2.25,1.536625,0.7,2.558,1.133,3.641428571428571,0.766,1.644,1.9400000000000002,1.241,2.983,0.9671428571428571,2.275,2.3082,4.55,1.9651666666666667,1.5399999999999998,0.2583
2016,6.6,7.2,1.58525,2.3608571428571428,0.583,2.8425000000000002,1.367,1.575,1.2,4.258,1.0684,2.25,1.536625,0.673875,2.483,0.558,3.641428571428571,0.775,1.644,1.9400000000000002,1.1615714285714287,3.302818181818182,0.9671428571428571,2.817,2.3082,4.616,1.9651666666666667,1.5399999999999998,0.3
